settlement_id,utr,true_reason_code,gap_amount,explanation
setl_001,UTR914655221101,FEE_GST_TDS_GAP,0.0,gross vs bank gap is entirely MDR + GST + TDS
setl_002,UTR336890980656,PARTIAL_REFUND_NETTED,397.83,35% refund on pay_0014 netted off this settlement
setl_003,UTR406575307735,FEE_GST_TDS_GAP,0.0,gross vs bank gap is entirely MDR + GST + TDS
setl_004,UTR446680801999,FEE_GST_TDS_GAP,0.0,gross vs bank gap is entirely MDR + GST + TDS
setl_005,UTR850726264460,FEE_GST_TDS_GAP,0.0,gross vs bank gap is entirely MDR + GST + TDS
setl_006,UTR508678332797,FEE_GST_TDS_GAP,0.0,gross vs bank gap is entirely MDR + GST + TDS
setl_007,UTR680958994499,FULL_REFUND_NETTED,982.99,full refund on pay_0054 netted off this settlement
setl_008,UTR635449182375,CHARGEBACK_DEDUCTION,1302.24,chargeback of Rs 1302.24 debited against this batch
setl_009,UTR689227460591,DUPLICATE_BANK_CREDIT,0.0,same UTR credited twice by the bank
setl_010,UTR565081604082,FEE_GST_TDS_GAP,0.0,gross vs bank gap is entirely MDR + GST + TDS
setl_011,UTR823355063011,FEE_GST_TDS_GAP,0.0,gross vs bank gap is entirely MDR + GST + TDS
setl_012,UTR875427216652,FEE_GST_TDS_GAP,0.0,gross vs bank gap is entirely MDR + GST + TDS
setl_013,UTR796181120841,FEE_GST_TDS_GAP,0.0,gross vs bank gap is entirely MDR + GST + TDS
setl_014,UTR214533606906,FEE_GST_TDS_GAP,0.0,gross vs bank gap is entirely MDR + GST + TDS
setl_015,UTR436509220579,UTR_MISMATCH,0.0,"bank narration carries a truncated UTR, so the join fails"
setl_016,UTR900348631876,ROUNDING_PAISE,0.45,sub-rupee rounding difference on fee computation
setl_017,UTR706860218144,FEE_GST_TDS_GAP,0.0,gross vs bank gap is entirely MDR + GST + TDS
setl_018,UTR193024055640,UNRESOLVABLE,3840.05,shortfall with no supporting document - needs a human
setl_019,UTR955156280853,FEE_GST_TDS_GAP,0.0,gross vs bank gap is entirely MDR + GST + TDS
setl_020,UTR364684869097,FEE_GST_TDS_GAP,0.0,gross vs bank gap is entirely MDR + GST + TDS
